"years","months","temp_Norway","temp_Netherlands","temp_Switzerland","temp_Iceland","temp_Azores","temp_St_Helena","temp_Rothera","atmospheric_CO2","CO2_emissions"
1880,1,NA,-0.17,-5.49,NA,NA,NA,NA,NA,0.0195
1880,2,NA,3.63,0.11,NA,NA,NA,NA,NA,0.0195
1880,3,NA,5.73,6.61,NA,NA,NA,NA,NA,0.0195
1880,4,NA,8.53,8.91,NA,NA,NA,NA,NA,0.0195
1880,5,NA,11.33,11.81,NA,NA,NA,NA,NA,0.0195
1880,6,NA,14.43,15.41,NA,NA,NA,NA,NA,0.0195
1880,7,NA,16.43,19.21,NA,NA,NA,NA,NA,0.0195
1880,8,NA,18.03,16.51,NA,NA,NA,NA,NA,0.0195
1880,9,NA,15.13,14.31,NA,NA,NA,NA,NA,0.0195
1880,10,NA,8.03,8.71,NA,NA,NA,NA,NA,0.0195
1880,11,NA,4.83,4.41,NA,NA,NA,NA,NA,0.0195
1880,12,NA,5.04,4.7,NA,NA,NA,NA,NA,0.0195
1881,1,NA,-3.06,-3.8,NA,NA,NA,NA,NA,0.0202
1881,2,NA,1.74,1.6,NA,NA,NA,NA,NA,0.0202
1881,3,NA,4.14,5.1,NA,NA,NA,NA,NA,0.0202
1881,4,NA,6.34,7.5,NA,NA,NA,NA,NA,0.0202
1881,5,NA,11.94,12.1,NA,NA,NA,NA,NA,0.0202
1881,6,NA,14.04,15.9,NA,NA,NA,NA,NA,0.0202
1881,7,NA,17.94,20.8,NA,NA,NA,NA,NA,0.0202
1881,8,NA,14.94,17.5,NA,NA,NA,NA,NA,0.0202
1881,9,NA,13.04,12.2,NA,NA,NA,NA,NA,0.0202
1881,10,NA,6.14,5.2,NA,NA,NA,NA,NA,0.0202
1881,11,NA,7.34,4.8,NA,NA,NA,NA,NA,0.0202
1881,12,NA,2.55,-0.2,NA,NA,NA,NA,NA,0.0202
1882,1,NA,2.05,-1.3,NA,NA,NA,NA,NA,0.0213
1882,2,NA,3.65,0.5,NA,NA,NA,NA,NA,0.0213
1882,3,NA,7.15,6.5,NA,NA,NA,NA,NA,0.0213
1882,4,NA,8.25,8.4,NA,NA,NA,NA,NA,0.0213
1882,5,NA,12.25,13.5,NA,NA,NA,NA,NA,0.0213
1882,6,NA,13.65,15.4,NA,NA,NA,NA,NA,0.0213
1882,7,NA,15.75,16.3,NA,NA,NA,NA,NA,0.0213
1882,8,NA,14.75,15.5,NA,NA,NA,NA,NA,0.0213
1882,9,NA,13.25,12.3,6.24,NA,NA,NA,NA,0.0213
1882,10,NA,9.55,9.6,6.04,NA,NA,NA,NA,0.0213
1882,11,NA,5.15,4.8,-0.86,NA,NA,NA,NA,0.0213
1882,12,NA,2.26,0.89,-2.86,NA,NA,NA,NA,0.0213
1883,1,NA,1.96,-0.11,-0.56,NA,NA,NA,NA,0.0227
1883,2,NA,4.56,2.49,0.04,NA,NA,NA,NA,0.0227
1883,3,NA,0.66,-0.21,-1.76,NA,NA,NA,NA,0.0227
1883,4,NA,8.06,7.59,3.94,NA,NA,NA,NA,0.0227
1883,5,NA,12.26,13.19,3.04,NA,NA,NA,NA,0.0227
1883,6,NA,15.46,15.49,10.14,NA,NA,NA,NA,0.0227
1883,7,NA,15.56,16.39,11.44,NA,NA,NA,NA,0.0227
1883,8,NA,15.86,16.29,8.64,NA,NA,NA,NA,0.0227
1883,9,NA,13.36,12.99,8.14,NA,NA,NA,NA,0.0227
1883,10,NA,9.76,7.29,3.84,NA,NA,NA,NA,0.0227
1883,11,NA,5.76,3.99,0.94,NA,NA,NA,NA,0.0227
1883,12,NA,3.17,-0.41,-0.16,NA,NA,NA,NA,0.0227
1884,1,NA,5.17,1.49,-2.86,NA,NA,NA,NA,0.023
1884,2,NA,4.57,1.89,-0.16,NA,NA,NA,NA,0.023
1884,3,NA,5.77,5.29,2.24,NA,NA,NA,NA,0.023
1884,4,NA,7.17,7.29,4.14,NA,NA,NA,NA,0.023
1884,5,NA,12.37,13.99,3.64,NA,NA,NA,NA,0.023
1884,6,NA,12.97,12.99,10.14,NA,NA,NA,NA,0.023
1884,7,NA,17.87,18.79,11.84,NA,NA,NA,NA,0.023
1884,8,NA,18.67,17.89,11.74,NA,NA,NA,NA,0.023
1884,9,NA,15.57,13.49,9.24,NA,NA,NA,NA,0.023
1884,10,NA,9.87,7.89,1.74,NA,NA,NA,NA,0.023
1884,11,NA,4.07,1.39,-0.36,NA,NA,NA,NA,0.023
1884,12,NA,3.48,0.28,-0.96,NA,NA,NA,NA,0.023
1885,1,NA,-0.42,-4.42,-0.16,NA,NA,NA,NA,0.0231
1885,2,NA,5.58,3.38,-7.16,NA,NA,NA,NA,0.0231
1885,3,NA,3.98,3.18,-3.86,NA,NA,NA,NA,0.0231
1885,4,NA,9.38,9.38,0.54,NA,NA,NA,NA,0.0231
1885,5,NA,9.68,10.18,3.34,NA,NA,NA,NA,0.0231
1885,6,NA,15.48,18.08,8.44,NA,NA,NA,NA,0.0231
1885,7,NA,16.88,18.78,10.84,NA,NA,NA,NA,0.0231
1885,8,NA,14.28,16.58,10.64,NA,NA,NA,NA,0.0231
1885,9,NA,12.38,12.68,6.84,NA,NA,NA,NA,0.0231
1885,10,NA,8.18,6.88,0.84,NA,NA,NA,NA,0.0231
1885,11,NA,3.68,3.88,-1.36,NA,NA,NA,NA,0.0231
1885,12,NA,2.29,-0.62,-2.56,NA,NA,NA,NA,0.0231
