temp_Norway,temp_Netherlands,temp_Switzerland
-13.5,6.31,3.6
-11.02,3.21,2.47
-14.71,4.81,3.79
-9.88,7.61,7.79
-4.57,11.21,12.79
1.84,15.21,14.42
5.4,17.91,17.93
4.17,20.01,17.79
0.53,15.31,16.58
-7.33,8.61,8.16
-9.45,5.31,4.42
-18.3,3.6,-0.42
-13.78,4.3,1.44
-11.37,3,1.41
-6.32,3.1,3.99
-8.77,7.6,8.33
-2.07,13.4,13.58
3.04,18.1,18.1
5.68,19.4,19.65
4.16,18.1,15.96
-1.04,13.9,13.05
-3.74,11.3,10.86
-7.93,7,4.47
-9,1.8,-1.74
-10.36,3.1,0.85
-16.45,5,4.85
-20.86,7.2,7.75
-15.66,6.8,6.62
-4.63,12,11.94
1.12,14.7,15.78
4.8,17.1,17.29
4.09,16.2,16.16
-0.12,13.5,12.91
-4.28,11.6,11.07
-6.43,6.9,5.51
-9.15,5.1,1.73
-18.82,3.1,0.13
-18.77,1.2,-0.14
-15.62,6.7,5.12
-8.82,7,7.48
-2.55,12.2,11.05
2.14,15.1,14.53
4.56,15.5,16.43
4.52,15.4,15.88
-1.89,13.8,13.63
-6.07,11,8.57
-10.6,6.4,3.43
-10.07,1.9,1.64
-19.43,-3.1,-2.75
-19.32,-0.8,2.15
-12.77,4.8,5.43
-16.03,7.9,6.6
-6.8,11.6,12.55
-0.32,15,16.45
6.14,16,17.29
4.59,15.7,15.97
1.29,14,14.44
-4.44,11,10.07
-6.56,5.7,3.73
-11.92,5.5,3.67
-15.34,0.3,-1.21
-13.61,4.9,3.74
-12.68,4.8,5.09
-8.4,8.1,6.03
-3.17,12.4,10.92
2.78,15.1,14.39
4.62,15.9,15.31
4.15,17.1,18.16
0.42,15.4,15.47
-6.96,9.5,8.61
-13.62,5,3.15
-16.95,3.69,-0.2
-22.16,2.79,-2.29
-12.69,1.59,-0.86
-18.64,8.19,7.6
-10.53,8.39,9.66
-4.47,13.39,12.3
0.27,14.49,15.54
4.9,16.39,16.32
4.97,16.79,17.69
1.27,14.79,14.29
-4.08,8.59,9.34
-6.89,6.79,4.79
-13.94,-0.61,0.65
-17.47,1.19,0.19
-14.7,2.89,0.79
-9.1,5.29,4.29
-9.14,7.69,7.52
-4.41,12.99,13.05
1.22,16.69,16.9
4.06,18.99,19.25
3.2,17.29,17.02
-4.25,15.69,16.32
-4.78,11.19,9.57
-7.91,8.29,6.05
-12.62,3.49,2.76
-10.87,6.29,2.89
-17.02,0.99,-1.59
-10.06,5.79,5.75
-11.26,8.59,9.29
-2.76,10.69,10.63
1,16.49,16.97
5.51,20.19,22.07
3.56,18.19,18.41
0.75,14.29,14.81
-7.09,10.49,10
-13.24,6.19,3.15
-15.89,3.89,1.03
-8.35,3.49,0.8
-9.44,2.09,-0.58
-14.72,4.09,2.67
-6.52,7.99,7.24
-2.58,10.69,10.1
2.3,13.89,15.15
5.84,15.99,18.22
4.97,18.19,17.38
1.39,13.59,13.25
-2.55,11.79,10.6
-4.92,8.29,6.11
-2.67,4.39,1.87
-11.49,-3.01,-5.41
-8.15,-0.51,-0.29
-11.12,4.19,3.4
-12.16,8.59,8.49
-3.1,13.29,12.79
3.02,13.79,14.25
6.73,17.49,19.31
3.99,15.99,17.32
0.56,14.49,15.73
-7.26,10.39,9.81
-8.84,2.69,1.08
-12,5.78,3.62
-13.37,2.48,0.85
-19.87,-3.52,-5.33
-14.4,4.28,3.61
-14.88,6.28,6.07
-2.61,13.38,14.3
2.62,16.48,15.84
6.14,17.28,17.49
4.69,15.68,17.08
-2.41,11.68,13.7
-4.24,11.48,11.24
-9.44,7.98,5.54
-9.54,5.18,1.38
-10.11,-2.62,-4.53
-14.84,2.18,0.5
-11.88,2.38,0.96
-7.13,10.78,10.04
-2.83,10.28,10.03
1.74,13.88,14.41
4.37,16.88,18.23
4.05,16.28,17.14
-1.92,14.88,17.05
-6.99,10.88,10.18
-9.48,6.88,5.19
-16.47,4.48,2.14
-17.1,5.98,3.41
-12.39,4.68,1.74
-17.34,5.18,3.42
-17,8.78,9.22
-2.58,14.48,14.56
2.83,14.88,15.6
5.48,16.08,17.92
5.21,16.68,17.99
-1.87,14.08,14.09
-9.71,10.98,10.82
-14.56,6.18,2.75
-21.35,7.08,2.41
-16.83,4.58,0.9
-18.65,5.38,3.19
-14.35,8.28,8.41
-7.3,6.98,7.62
-1.53,14.68,14.26
1.92,15.78,15.44
4.93,18.18,18.62
3.58,17.28,17.89
0.24,15.68,14.36
-6.4,12.48,11.05
-8.57,5.68,2.8
-15.1,4.87,2.4
-6.79,5.77,1.01
-9.83,7.67,6.71
-15.58,8.57,7.75
-8.5,8.97,7.42
-4.62,13.97,15.13
2.48,15.07,15.52
5.56,16.97,18.46
4.32,18.57,19.28
4.85,13.47,13.65
-3.18,12.07,11.59
-12.2,6.27,4.29
-8.18,4.27,-0.07
-11.27,3.27,0.69
-10.48,-0.73,-0.98
-7.97,8.87,7.21
-11.21,8.57,7.81
-3,10.07,9.55
2.93,12.77,14.8
4.09,19.07,19.86
5.45,18.07,19.94
-0.75,15.07,16.71
-5.89,10.27,8.69
-11.83,5.37,3.83
-12.83,3.97,-0.57
-10.68,2.77,-0.78
-14.87,4.97,1.85
-12.19,6.97,6.12
-6.23,8.77,8.21
-2.57,15.67,14.82
2.96,17.27,15.92
5.1,18.37,18.99
3.74,17.87,21.04
2.49,14.67,14.71
-8.4,8.07,7.68
-7.21,8.07,6.2
-11.7,3.77,0.42
-15.48,5.17,3.35
-15.93,2.47,-0.22
-15.71,5.87,4.46
-12.68,11.17,10.76
-3.05,14.37,14.79
2.83,15.97,16.85
6.17,16.17,16.88
5.36,15.27,17.68
-0.74,13.17,13.35
-8.09,9.07,7.98
