temp_Iceland,temp_Azores,temp_St_Helena,temp_Rothera
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
999,999,999,999
6.24,999,999,999
6.04,999,999,999
-0.86,999,999,999
-2.86,999,999,999
-0.56,999,999,999
0.04,999,999,999
-1.76,999,999,999
3.94,999,999,999
3.04,999,999,999
10.14,999,999,999
11.44,999,999,999
8.64,999,999,999
8.14,999,999,999
3.84,999,999,999
0.94,999,999,999
-0.16,999,999,999
-2.86,999,999,999
-0.16,999,999,999
2.24,999,999,999
4.14,999,999,999
3.64,999,999,999
10.14,999,999,999
11.84,999,999,999
11.74,999,999,999
9.24,999,999,999
1.74,999,999,999
-0.36,999,999,999
-0.96,999,999,999
-0.16,999,999,999
-7.16,999,999,999
-3.86,999,999,999
0.54,999,999,999
3.34,999,999,999
8.44,999,999,999
10.84,999,999,999
10.64,999,999,999
6.84,999,999,999
0.84,999,999,999
-1.36,999,999,999
-2.56,999,999,999
-8.96,999,999,999
-2.36,999,999,999
-2.06,999,999,999
0.14,999,999,999
3.14,999,999,999
8.84,999,999,999
9.34,999,999,999
8.24,999,999,999
7.34,999,999,999
5.24,999,999,999
1.64,999,999,999
-4.56,999,999,999
-0.06,999,999,999
-0.46,999,999,999
-1.05,999,999,999
-0.46,999,999,999
5.24,999,999,999
10.54,999,999,999
8.44,999,999,999
8.54,999,999,999
8.14,999,999,999
2.04,999,999,999
-3.15,999,999,999
-4.87,999,999,999
-0.27,999,999,999
-0.97,999,999,999
-4.37,999,999,999
0.63,999,999,999
2.93,999,999,999
11.33,999,999,999
9.53,999,999,999
8.03,999,999,999
8.03,999,999,999
2.23,999,999,999
0.93,999,999,999
0.33,999,999,999
-2.47,999,999,999
-3.97,999,999,999
-1.97,999,999,999
2.33,999,999,999
9.33,999,999,999
11.93,999,999,999
12.73,999,999,999
11.83,999,999,999
8.93,999,999,999
4.93,999,999,999
2.63,999,999,999
-0.07,999,999,999
-1.87,999,999,999
0.73,999,999,999
-1.97,999,999,999
4.23,999,999,999
8.73,999,999,999
8.43,999,999,999
10.43,999,999,999
10.43,999,999,999
7.43,999,999,999
2.63,999,999,999
0.93,999,999,999
1.93,999,999,999
-0.77,999,999,999
1.73,999,999,999
-5.37,999,999,999
2.73,999,999,999
5.83,999,999,999
11.63,999,999,999
12.73,999,999,999
10.03,999,999,999
6.83,999,999,999
5.43,999,999,999
0.03,999,999,999
-1.88,999,999,999
-4.08,999,999,999
-7.18,999,20.18,999
-5.18,999,20.18,999
0.42,999,18.98,999
3.42,999,17.48,999
8.02,999,15.88,999
10.32,999,14.98,999
8.12,999,14.88,999
5.82,999,14.18,999
1.42,999,15.28,999
-2.08,999,15.38,999
-5.38,999,16.88,999
-1.88,999,17.68,999
-2.28,999,18.58,999
-0.58,999,19.18,999
5.12,999,19.18,999
7.92,999,18.38,999
10.92,999,16.88,999
11.32,999,15.88,999
11.32,999,14.58,999
5.12,999,14.48,999
2.32,999,15.48,999
-0.88,999,15.38,999
-2.68,999,17.18,999
-3.08,999,19.28,999
-1.88,999,19.68,999
0.22,999,19.78,999
6.02,999,18.88,999
5.52,999,17.88,999
12.62,999,16.28,999
14.12,999,15.88,999
12.02,999,14.68,999
9.22,999,15.28,999
2.82,999,16.28,999
2.02,999,16.88,999
-2.48,999,18.58,999
-2.88,999,19.38,999
0.92,999,20.08,999
-0.78,999,20.18,999
-0.48,999,19.78,999
8.42,999,18.88,999
11.12,999,16.48,999
11.02,999,16.48,999
9.72,999,15.98,999
8.82,999,15.88,999
1.72,999,16.08,999
0.02,999,16.78,999
-2.68,999,17.68,999
-1.68,999,19.08,999
0.92,999,19.28,999
-3.08,999,20.28,999
2.72,999,20.18,999
8.82,999,18.28,999
8.82,999,17.48,999
12.52,999,15.98,999
10.52,999,14.38,999
6.82,999,15.68,999
-0.18,999,16.18,999
0.42,999,16.18,999
1.61,999,16.68,999
-1.29,999,18.38,999
-2.29,999,19.88,999
-0.89,999,20.48,999
4.11,999,20.18,999
5.01,999,18.48,999
8.31,999,17.78,999
13.41,999,16.28,999
10.41,999,15.28,999
7.61,999,14.88,999
5.61,999,15.08,999
0.71,999,16.28,999
0.71,999,17.28,999
0.11,999,18.48,999
-3.79,999,18.98,999
-1.19,999,19.08,999
3.11,999,18.48,999
5.21,999,16.78,999
10.61,999,15.48,999
11.61,999,14.58,999
9.91,999,14.68,999
8.71,999,14.68,999
4.81,999,14.68,999
-0.19,999,16.88,999
