"id","q","year","month","day"
"1",0.17365,1948,1,22
"1",0.20808,1949,12,16
"1",0.16347,1950,11,9
"1",0.14416,1951,3,10
"1",0.2268,1952,12,7
"1",0.14656,1953,1,7
"1",0.12216,1954,2,18
"1",0.08892,1955,12,23
"1",0.20659,1956,2,13
"1",0.13817,1957,12,18
"1",0.14207,1958,1,13
"1",0.2006,1959,1,17
"1",0.2006,1960,1,17
"1",0.0997,1961,2,4
"1",0.38323,1962,11,16
"1",0.47305,1963,2,18
"1",0.20958,1964,11,11
"1",0.20584,1965,3,3
"1",0.30778,1966,1,14
"1",0.14955,1967,12,28
"1",0.1747,1968,2,18
"1",0.23653,1969,12,7
"1",0.38174,1970,12,31
"1",0.58069,1971,1,1
"1",0.21467,1972,1,30
"1",0.20404,1973,12,15
"1",0.26437,1974,2,8
"1",0.26976,1975,12,19
"1",0.44566,1976,12,6
"1",0.1512,1977,1,14
"1",0.29551,1978,2,15
"1",0.38009,1979,1,13
"1",0.2979,1980,1,1
"2",0.03184,1893,5,27
"2",0.03318,1894,10,6
"2",0.0501,1895,3,28
"2",0.06031,1896,3,12
"2",0.09638,1897,8,2
"2",0.03399,1898,7,11
"2",0.1042,1899,9,17
"2",0.04173,1900,1,25
"2",0.0373,1901,4,17
"2",0.04561,1902,6,20
"2",0.06558,1903,7,11
"2",0.03693,1904,9,17
"2",0.03526,1905,5,9
"2",0.05591,1906,7,16
"2",0.05544,1907,5,16
"2",0.04574,1908,5,15
"2",0.05783,1909,7,15
"2",0.06078,1910,9,4
"2",0.04541,1911,6,23
"2",0.06356,1912,9,17
"2",0.04995,1913,7,2
"2",0.05887,1914,7,20
"2",0.06158,1915,7,3
"2",0.04704,1916,9,10
"2",0.06529,1917,1,5
"2",0.06096,1918,7,8
"2",0.04704,1919,12,31
"2",0.08303,1920,9,10
"2",0.03418,1921,6,3
"2",0.04663,1922,9,7
"2",0.07821,1923,2,4
"2",0.06038,1924,5,3
"2",0.06236,1925,8,30
"2",0.06085,1926,8,2
"2",0.04226,1927,9,22
"2",0.061,1928,2,18
"2",0.03264,1929,6,13
"2",0.04736,1930,5,17
"2",0.04549,1931,8,23
"2",0.05332,1932,6,1
"2",0.04473,1933,7,19
"2",0.031,1934,8,7
"2",0.04827,1935,6,2
"2",0.04854,1936,6,9
"2",0.04435,1937,9,25
"2",0.05573,1938,8,26
"2",0.05965,1939,12,2
"2",0.06589,1940,6,4
"2",0.05081,1941,7,18
"2",0.04659,1942,3,23
"2",0.04697,1943,6,17
"2",0.06208,1944,4,21
"2",0.05295,1945,2,15
"2",0.0586,1946,7,11
"2",0.0484,1947,3,16
"2",0.06507,1948,1,6
"2",0.0667,1949,8,17
"2",0.03068,1950,9,18
"2",0.04374,1951,5,12
"2",0.04921,1952,3,26
"2",0.0446,1953,7,12
"2",0.10628,1954,7,12
"2",0.06746,1955,7,11
"2",0.0691,1956,3,6
"2",0.065,1957,7,25
"2",0.06413,1958,2,18
"2",0.07076,1959,8,15
"2",0.04163,1960,8,14
"2",0.05375,1961,12,14
"2",0.04306,1962,5,15
"2",0.03779,1963,6,25
"2",0.05321,1964,11,19
"2",0.08117,1965,6,13
"2",0.07196,1966,7,25
"2",0.04938,1967,6,1
"2",0.05222,1968,10,3
"2",0.04001,1969,6,9
"2",0.07153,1970,8,12
"2",0.03853,1971,6,13
"2",0.04188,1972,7,14
"2",0.04791,1973,6,26
"2",0.06849,1974,12,9
"2",0.08614,1975,7,3
"2",0.06734,1977,8,2
"2",0.0447,1978,7,6
"2",0.06559,1979,6,20
"2",0.05465,1980,7,23
"2",0.08255,1981,7,22
"2",0.0533,1982,2,1
"2",0.04226,1983,1,6
"2",0.0348,1984,9,18
"2",0.07974,1985,8,8
"2",0.04163,1986,1,20
"2",0.05543,1987,12,19
"2",0.0649,1988,3,27
"2",0.03476,1989,7,4
"2",0.05584,1990,7,11
"2",0.09877,1991,8,4
"2",0.0619,1992,11,24
"2",0.05527,1993,7,21
"2",0.05315,1994,4,18
"2",0.05952,1995,9,2
"2",0.06688,1996,10,22
"2",0.06984,1997,7,20
"2",0.0548,1998,11,11
"2",0.05623,1999,5,27
"2",0.04559,2000,3,18
"2",0.05344,2001,6,20
"2",0.11537,2002,8,14
"2",0.04061,2003,1,5
"2",0.04679,2004,1,14
"2",0.06785,2005,7,12
"2",0.06968,2006,8,8
"2",0.07463,2007,9,7
"2",0.04337,2008,7,24
"2",0.08141,2009,6,24
"2",0.07461,2010,6,4
"3",0.159,1996,7,8
"3",0.19665,1997,6,29
"3",0.16351,1998,9,12
"3",0.26528,1999,9,26
"3",0.25345,2000,8,6
"3",0.26442,2001,6,10
"3",0.30831,2002,11,16
"3",0.09596,2003,8,29
"3",0.19385,2004,8,20
"3",0.24161,2005,8,23
"3",0.16308,2006,10,4
