temp_Norway,temp_Netherlands,temp_Switzerland
999,-0.17,-5.49
999,3.63,0.11
999,5.73,6.61
999,8.53,8.91
999,11.33,11.81
999,14.43,15.41
999,16.43,19.21
999,18.03,16.51
999,15.13,14.31
999,8.03,8.71
999,4.83,4.41
999,5.04,4.7
999,-3.06,-3.8
999,1.74,1.6
999,4.14,5.1
999,6.34,7.5
999,11.94,12.1
999,14.04,15.9
999,17.94,20.8
999,14.94,17.5
999,13.04,12.2
999,6.14,5.2
999,7.34,4.8
999,2.55,-0.2
999,2.05,-1.3
999,3.65,0.5
999,7.15,6.5
999,8.25,8.4
999,12.25,13.5
999,13.65,15.4
999,15.75,16.3
999,14.75,15.5
999,13.25,12.3
999,9.55,9.6
999,5.15,4.8
999,2.26,0.89
999,1.96,-0.11
999,4.56,2.49
999,0.66,-0.21
999,8.06,7.59
999,12.26,13.19
999,15.46,15.49
999,15.56,16.39
999,15.86,16.29
999,13.36,12.99
999,9.76,7.29
999,5.76,3.99
999,3.17,-0.41
999,5.17,1.49
999,4.57,1.89
999,5.77,5.29
999,7.17,7.29
999,12.37,13.99
999,12.97,12.99
999,17.87,18.79
999,18.67,17.89
999,15.57,13.49
999,9.87,7.89
999,4.07,1.39
999,3.48,0.28
999,-0.42,-4.42
999,5.58,3.38
999,3.98,3.18
999,9.38,9.38
999,9.68,10.18
999,15.48,18.08
999,16.88,18.78
999,14.28,16.58
999,12.38,12.68
999,8.18,6.88
999,3.68,3.88
999,2.29,-0.62
999,0.49,-2.02
999,-1.41,-2.72
999,2.89,2.18
999,7.99,9.58
999,12.29,13.18
999,13.69,14.18
999,16.29,17.98
999,16.49,17.08
999,15.69,15.58
999,10.79,9.48
999,6.69,3.98
999,1.7,0.58
999,-0.4,-4.22
999,1.8,-2.02
999,2.3,0.58
999,6.6,7.98
999,9.8,9.88
999,15.2,17.58
999,17.8,19.68
999,15.7,16.58
999,12.3,11.78
999,7.3,4.68
999,4.5,1.88
999,1.41,-1.73
999,0.01,-3.43
999,-1.29,-1.43
999,1.81,2.47
999,6.21,6.17
999,11.01,14.07
999,15.41,16.37
999,14.21,15.27
999,14.71,15.57
999,13.21,13.47
999,8.01,5.47
999,5.51,3.87
999,3.32,-1.63
999,0.42,-2.83
999,1.02,-1.73
999,3.02,0.87
999,7.52,6.87
999,15.72,14.37
999,18.52,17.37
999,15.52,17.17
999,15.22,15.77
999,12.42,11.77
999,8.72,7.57
999,4.82,2.57
999,-1.07,-2.74
999,3.93,0.46
999,0.53,-3.74
999,5.53,3.56
999,6.73,7.46
999,13.33,14.06
999,13.83,14.96
999,14.93,15.96
999,15.33,16.16
999,14.43,12.46
999,9.33,6.06
999,4.63,2.76
999,-5.06,-5.94
999,-1.96,-5.74
999,2.14,-2.54
999,3.74,3.36
999,6.24,6.06
999,11.74,12.46
999,15.34,15.96
999,15.44,16.36
999,14.94,15.76
999,15.04,14.06
999,10.74,9.46
999,4.44,2.56
999,3.35,0.95
999,0.45,-1.55
999,2.25,1.55
999,1.95,1.05
999,7.45,8.35
999,13.05,13.25
999,14.05,16.25
999,15.15,17.35
999,16.85,18.65
999,13.75,14.35
999,8.45,8.15
999,6.05,5.45
999,1.06,-1.85
999,-2.04,-6.25
999,3.76,2.05
999,6.56,5.55
999,9.96,11.95
999,13.66,12.75
999,15.66,16.25
999,17.06,17.65
999,17.56,18.45
999,13.26,14.15
999,10.56,9.85
999,3.96,2.55
999,2.87,-0.96
999,1.27,-2.45
999,3.37,1.04
999,6.67,5.04
999,10.87,10.74
999,11.07,11.74
999,13.77,15.34
999,17.07,18.14
999,14.97,16.44
999,12.17,12.24
999,9.17,9.04
999,6.57,4.14
999,3.68,-0.86
999,-0.82,-4.96
999,-3.62,-7.36
999,3.38,1.94
999,8.78,9.44
999,12.58,12.24
999,15.68,15.84
999,16.38,18.24
999,16.38,17.04
999,15.88,16.94
999,8.68,7.84
999,6.28,6.14
999,1.79,1.44
999,2.19,-1.96
999,2.29,-1.76
999,6.69,6.64
999,7.79,6.04
999,11.49,10.94
999,17.79,16.14
999,17.79,17.64
999,14.99,14.54
999,13.79,13.44
999,8.69,7.64
999,2.59,1.74
999,2.1,-0.17
999,-1.1,-2.17
999,3.2,4.13
999,6.4,6.63
999,7.7,8.23
999,11.5,10.53
999,16.9,17.93
999,16.8,18.03
999,17.7,17.03
999,13,12.63
999,9.2,7.13
999,4.5,3.03
999,2.71,-0.47
999,4.31,0.63
999,3.51,0.83
999,3.21,3.33
999,8.11,8.53
999,11.01,11.73
999,14.51,14.73
999,14.61,16.43
999,18.21,18.63
999,15.11,15.43
999,10.21,10.43
999,5.81,5.03
999,5.62,0.72
999,4.02,1.92
999,3.22,3.02
999,3.52,4.72
999,7.62,7.82
999,10.62,11.72
999,15.42,15.92
999,17.92,17.72
999,17.52,19.02
999,13.92,13.52
999,8.32,8.92
999,8.92,3.92
999,-0.87,-2.58
999,3.03,1.22
999,2.33,2.92
999,2.53,0.52
999,7.23,7.32
999,10.83,11.22
999,15.93,17.02
999,18.33,18.82
999,16.33,16.02
999,14.13,15.32
999,10.03,9.12
999,5.73,4.52
999,5.14,2.01
999,-0.46,-1.76
999,-1.06,-4.82
999,3.34,2.29
999,8.94,8.34
999,12.04,13.12
999,14.54,16.22
999,18.54,18.02
999,16.54,16.29
999,14.54,13.99
999,10.14,8.1
999,5.14,0.92
999,2.75,0.02
999,4.45,0.36
999,-0.55,-0.65
999,5.05,4.34
999,8.35,10.28
999,9.25,7.93
999,15.65,14.52
999,15.35,17.73
999,14.65,16.53
999,12.95,13.46
999,8.45,7.86
999,3.55,1.87
999,0.66,-1.87
999,2.76,-1.26
999,5.46,1.93
999,6.96,5.62
999,5.46,4.5
999,12.66,12.56
999,14.16,14.4
999,15.46,16.28
999,15.16,16.91
999,14.26,14.09
999,10.96,9.74
999,5.56,3.44
999,0.66,-1.95
999,0.56,-3.06
999,2.86,1.35
999,3.56,4.08
999,9.56,9.59
999,11.96,13.71
999,14.26,16.51
999,17.86,20.07
999,15.86,18.52
999,12.26,12.07
999,9.06,8.52
999,5.36,2.22
999,3.87,0.4
999,1.17,-3.59
999,3.47,0.79
999,5.87,4.68
999,6.47,7.96
999,11.77,11.1
999,16.77,16.74
999,17.87,20.43
999,15.87,17.24
999,12.77,13.93
999,6.37,4.02
999,3.67,2.92
999,2.18,-0.73
999,3.48,-0.37
999,2.28,-0.57
999,3.88,3.2
999,7.48,7.87
999,12.38,12.78
999,14.18,15.22
999,16.88,17.98
999,16.78,18.05
999,13.28,13.57
999,11.68,11.1
999,7.78,4.59
999,0.09,-2.59
999,1.59,-1.96
999,0.59,-2.48
999,4.59,2.97
999,7.49,6.84
999,12.49,13.04
999,13.59,15.48
999,13.79,15.49
999,15.09,17.78
999,13.59,14.5
999,11.19,10.14
999,5.69,4.14
999,3,1.92
999,-1.3,-4.22
999,3.6,0.43
999,3.5,2.68
999,6,5.83
999,13,14.22
999,16.2,17.76
999,16.6,17.27
999,15.2,15.99
999,13.5,12.89
999,9.8,8.7
999,4.4,1.23
